Game,Noop-Human,Noop-Random
Alien,6875,227.8
Amidar,1676,5.8
Assault,1496,222.4
Asterix,8503,210
Asteroids,13157,719.1
Atlantis,29028,12850
Bank Heist,734.4,14.2
Battle Zone,37800,2360
Beam Rider,5775,363.9
Berzerk,2630.4,123.7
Bowling,154.8,23.1
Boxing,4.3,0.1
Breakout,31.8,1.7
Centipede,11963,2090.9
Chopper Command,9882,811
Crazy Climber,35411,10780.5
Defender,18688.9,2874.5
Demon Attack,3401,152.1
Double Dunk,-15.5,-18.6
Enduro,309.6,0
Fishing Derby,5.5,-91.7
Freeway,29.6,0
Frostbite,4335,65.2
Gopher,2321,257.6
Gravitar,2672,173
H.E.R.O,25763,1027
Ice Hockey,0.9,-11.2
Kangaroo,3035,52
Krull,2395,1598
Kung-Fu Master,22736,258
Montezuma's Revenge,4367,0
Ms. Pacman,15693,307.3
Name This Game,4076,2292.3
Phoenix,7242.6,761.4
Pit Fall,6463.7,-229.4
Pong,9.3,-20.7
Private Eye**,69571,24.9
Q*Bert,13455,163.9
Road Runner,7845,11.5
Robotank,11.9,2.2
Seaquest,20182,68.4
Skiing,-4336.9,-170981.1
Solaris**,12326.7,1236.3
Space Invaders,1652,148
Star Gunner,10250,664
Surround,6.5,-10
Tennis,-8.9,-23.8
Time Pilot,5925,3568
Tutankham,167.6,11.4
Venture,1188,0
Video Pinball*,17767.9,16256.9
Wizard of Wor,4757,563.5
Yars Revenge,54576.9,3092.9
Zaxxon,9173.3,32.5
